Title,Release Date,Rating,Review,Recommendation
Just Mercy,2019,6.9,average,Recommended
The Five Devils,2023,7.0,average,Recommended
Fear Street Part Three: 1666,2021,6.5,average,Recommended
Ghost Stories,2018,6.5,average,Recommended
The Valet,2022,5.4,average,Not Recommended
Feast of the Seven Fishes,2019,7.3,average,Recommended
Spy x Family Code: White,2024,7.3,average,Recommended
Never Look Away,2019,7.9,good,Recommended
Crimes of the Future,2022,6.1,average,Not Recommended
Small Town Crime,2018,6.5,average,Recommended
The Unbearable Weight of Massive Talent,2022,7.2,average,Recommended
Problemista,2024,6.7,average,Recommended
You Can Live Forever,2023,5.8,average,Not Recommended
Vazante,2018,6.3,average,Not Recommended
40 Years in the Making: The Magic Music Movie,2018,8.1,good,Recommended
Rustin,2023,6.1,average,Not Recommended
Monsters and Men,2018,6.4,average,Not Recommended
The Captain,2018,7.7,good,Recommended
Concrete Cowboy,2021,6.4,average,Not Recommended
Avatar: The Way of Water,2022,7.1,average,Recommended
Kid 90,2021,4.6,bad,Not Recommended
The Blackening,2023,5.0,average,Not Recommended
Deadstream,2022,6.2,average,Not Recommended
Light of My Life,2019,6.3,average,Not Recommended
Vox Lux,2018,6.0,average,Not Recommended
Framing John DeLorean,2019,7.9,good,Recommended
Cuties,2020,1.3,bad,Not Recommended
The China Hustle,2018,7.2,average,Recommended
A Midsummer Night's Dream,2018,6.3,average,Not Recommended
The Little Stranger,2018,6.0,average,Not Recommended
The Idea of You,2024,5.4,average,Not Recommended
Fear Street Part One: 1994,2021,5.8,average,Not Recommended
The Wolf of Snow Hollow,2020,6.4,average,Not Recommended
The Last Duel,2021,7.3,average,Recommended
Slash/Back,2022,4.8,bad,Not Recommended
"Juliet, Naked",2018,6.8,average,Recommended
PG: Psycho Goreman,2021,8.2,good,Recommended
Kill Boksoon,2023,6.1,average,Not Recommended
The Loneliest Whale: The Search for 52,2021,8.0,good,Recommended
Spoor,2021,3.8,bad,Not Recommended
Annette,2021,6.5,average,Recommended
Chappaquiddick,2018,7.2,average,Recommended
A Faithful Man,2019,5.4,average,Not Recommended
Sanctuary,2023,6.5,average,Recommended
The King of Staten Island,2020,6.8,average,Recommended
Shortcomings,2023,6.3,average,Not Recommended
Tesla,2020,4.9,bad,Not Recommended
The Great Hack,2019,6.5,average,Recommended
In the Aisles,2019,6.9,average,Recommended
Lady Chatterley's Lover,2022,6.6,average,Recommended
Sissy,2022,6.5,average,Recommended
Cut Throat City,2020,5.9,average,Not Recommended
Long Shot,2019,6.0,average,Not Recommended
Freaky,2020,6.4,average,Not Recommended
Scotty and the Secret History of Hollywood,2018,6.4,average,Not Recommended
Upgrade,2018,7.9,good,Recommended
The Paper Tigers,2021,7.4,average,Recommended
"Don't Worry, He Won't Get Far on Foot",2018,6.9,average,Recommended
Calm with Horses (The Shadow of Violence),2020,5.8,average,Not Recommended
The Gospel According to André,2018,5.3,average,Not Recommended
Black Panther: Wakanda Forever,2022,5.2,average,Not Recommended
Queen of Hearts,2019,8.0,good,Recommended
McEnroe,2022,7.5,good,Recommended
Storm Boy,2019,6.8,average,Recommended
Sometimes Always Never,2020,6.8,average,Recommended
The Way I See It,2020,7.8,good,Recommended
Run,2020,7.4,average,Recommended
No Man of God,2021,7.1,average,Recommended
Nancy,2018,6.4,average,Not Recommended
The Final Year,2018,5.7,average,Not Recommended
Sublet,2021,7.3,average,Recommended
The Alpinist,2021,7.6,good,Recommended
Oxygen,2021,6.9,average,Recommended
Lost Girls,2020,5.8,average,Not Recommended
Ray Donovan: The Movie,2022,6.6,average,Recommended
Cinderella,2021,7.4,average,Recommended
Worth,2021,6.7,average,Recommended
A Simple Favor,2018,6.8,average,Recommended
Giant Little Ones,2019,6.8,average,Recommended
Being Mary Tyler Moore,2023,7.3,average,Recommended
The Inventor,2023,7.7,good,Recommended
The Wind,2019,6.1,average,Not Recommended
What Keeps You Alive,2018,5.0,average,Not Recommended
Werewolves Within,2021,5.9,average,Not Recommended
To Dust,2019,5.5,average,Not Recommended
Brian and Charles,2022,6.5,average,Recommended
The Imaginary,2024,6.8,average,Recommended
The Life Ahead,2020,9.5,good,Recommended
Peterloo,2019,5.6,average,Not Recommended
Starve Acre,2024,6.2,average,Not Recommended
Devotion,2022,6.0,average,Not Recommended
Creed II,2018,7.1,average,Recommended
Ben Is Back,2018,6.8,average,Recommended
"Pamela, a love story",2023,6.2,average,Not Recommended
Charlatan,2021,6.3,average,Not Recommended
Wander Darkly,2020,7.0,average,Recommended
The Sound of Silence,2019,4.6,bad,Not Recommended
Sasquatch Sunset,2024,6.5,average,Recommended
What You Wish For,2024,6.3,average,Not Recommended
Just the Two of Us,2024,9.4,good,Recommended
Bumblebee,2018,6.9,average,Recommended
Holy Spider,2022,6.9,average,Recommended
Cowboys,2021,7.4,average,Recommended
The Report,2019,7.0,average,Recommended
Causeway,2022,6.5,average,Recommended
Cyrano,2021,5.5,average,Not Recommended
The Kid Who Would Be King,2019,6.1,average,Not Recommended
Shaft,2019,7.7,good,Recommended
Game Night,2018,7.1,average,Recommended
Judy,2019,6.7,average,Recommended
Wonka,2023,5.9,average,Not Recommended
The Judge,2018,7.1,average,Recommended
Stardust,2020,8.3,good,Recommended
Valley Girl,2020,6.3,average,Not Recommended
Perpetrator,2023,5.0,average,Not Recommended
Pieces of a Woman,2020,6.6,average,Recommended
The Sky Is Everywhere,2022,5.6,average,Not Recommended
White Noise,2022,5.6,average,Not Recommended
Chip 'n Dale: Rescue Rangers,2022,6.5,average,Recommended
Swan Song,2021,6.7,average,Recommended
The Real Charlie Chaplin,2021,5.6,average,Not Recommended
Widow Clicquot,2024,6.5,average,Recommended
Mean Girls,2024,8.1,good,Recommended
Ultraman: Rising,2024,9.1,good,Recommended
Dumb Money,2023,6.4,average,Not Recommended
Skinamarink,2023,5.2,average,Not Recommended
Breaking,2022,4.9,bad,Not Recommended
Pavarotti,2019,7.6,good,Recommended
Mid90s,2018,7.5,good,Recommended
The Convert,2024,6.3,average,Not Recommended
Bad Reputation,2018,7.6,good,Recommended
Lowlife,2018,7.1,average,Recommended
Tommaso,2020,5.5,average,Not Recommended
Thirteen Lives,2022,6.8,average,Recommended
Mothering Sunday,2021,6.8,average,Recommended
Shadow in the Cloud,2021,3.7,bad,Not Recommended
The Way Back,2020,7.2,average,Recommended
Young Ahmed,2020,5.6,average,Not Recommended
Harriet,2019,7.0,average,Recommended
Scare Me,2020,5.1,average,Not Recommended
Kingdom of the Planet of the Apes,2024,7.1,average,Recommended
Becoming,2020,6.6,average,Recommended
Do Revenge,2022,6.9,average,Recommended
Straight Up,2020,6.3,average,Not Recommended
Deadpool 2,2018,7.9,good,Recommended
American Star,2024,8.5,good,Recommended
I Care a Lot,2021,3.1,bad,Not Recommended
Mary Poppins Returns,2018,6.6,average,Recommended
Mickey: The Story of a Mouse,2022,7.0,average,Recommended
Scream,2022,8.6,good,Recommended
6 Balloons,2018,6.7,average,Recommended
Vivo,2021,6.7,average,Recommended
Summer of 85,2021,6.5,average,Recommended
A Good Woman Is Hard to Find,2020,6.6,average,Recommended
Kalki 2898 AD,2024,8.2,good,Recommended
Last Night in Soho,2021,7.0,average,Recommended
White Men Can't Jump,2023,7.2,average,Recommended
Tigertail,2020,7.4,average,Recommended
Mine 9,2019,8.0,good,Recommended
Ismael's Ghosts,2018,7.3,average,Recommended
"The Night Is Short, Walk On Girl",2018,8.2,good,Recommended
Stars at Noon,2022,5.7,average,Not Recommended
The End We Start From,2024,6.0,average,Not Recommended
Black Christmas,2019,6.1,average,Not Recommended
Father of the Bride,2022,7.4,average,Recommended
Mr. Malcolm's List,2022,5.7,average,Not Recommended
Pinocchio,2020,4.6,bad,Not Recommended
Pinocchio,2022,4.6,bad,Not Recommended
Hearts Beat Loud,2018,7.1,average,Recommended
I See You,2019,6.9,average,Recommended
Crater,2023,4.8,bad,Not Recommended
Vengeance,2022,9.8,good,Recommended
A Call to Spy,2020,6.8,average,Recommended
Operation Mincemeat,2022,6.2,average,Not Recommended
Driving Madeleine,2024,7.8,good,Recommended
Ron's Gone Wrong,2021,7.4,average,Recommended
Dragon Ball Super: Super Hero,2022,8.4,good,Recommended
To All the Boys: Always and Forever,2021,6.1,average,Not Recommended
The Polka King,2018,6.2,average,Not Recommended
The Guernsey Literary and Potato Peel Pie Society,2018,7.0,average,Recommended
Sunset,2019,7.6,good,Recommended
Critical Thinking,2020,4.2,bad,Not Recommended
The SpongeBob Movie: Sponge on the Run,2021,6.4,average,Not Recommended
The Courier,2021,2.9,bad,Not Recommended
Men,2022,5.4,average,Not Recommended
The LEGO Movie 2: The Second Part,2019,6.7,average,Recommended
The Good Boss,2022,7.1,average,Recommended
Stopmotion,2024,6.2,average,Not Recommended
Never Grow Old,2019,6.5,average,Recommended
Good Night Oppy,2022,7.2,average,Recommended
Miss Americana,2020,8.5,good,Recommended
Air Doll (2009),2022,6.2,average,Not Recommended
Twisters,2024,7.5,good,Recommended
Strange World,2022,3.7,bad,Not Recommended
The Art of Self-Defense,2019,6.5,average,Recommended
"Alice, Darling",2022,7.7,good,Recommended
The Good Nurse,2022,6.5,average,Recommended
The Black Phone,2022,7.0,average,Recommended
Klaus,2019,8.5,good,Recommended
Raging Grace,2023,4.4,bad,Not Recommended
Ride Your Wave,2020,8.0,good,Recommended
Sharper,2023,5.9,average,Not Recommended
The First Omen,2024,6.6,average,Recommended
"The Gangster, the Cop, the Devil",2019,7.6,good,Recommended
Cargo,2018,6.5,average,Recommended
The Phantom of the Open,2022,7.1,average,Recommended
Swallow,2020,6.4,average,Not Recommended
Black '47,2018,6.9,average,Recommended
Leo,2023,8.8,good,Recommended
Plus One,2019,6.1,average,Not Recommended
Please Baby Please,2022,5.1,average,Not Recommended
Agnes,2021,3.0,bad,Not Recommended
Photograph,2019,6.7,average,Recommended
True Mothers,2021,7.2,average,Recommended
Coup de Chance,2024,6.2,average,Not Recommended
Enforcement,2021,4.5,bad,Not Recommended
To All the Boys I've Loved Before,2018,7.6,good,Recommended
Frozen II,2019,6.7,average,Recommended
The Apparition,2018,6.8,average,Recommended
The Vanishing,2019,7.0,average,Recommended
MaXXXine,2024,6.2,average,Not Recommended
Enola Holmes 2,2022,6.3,average,Not Recommended
Gaia,2021,5.9,average,Not Recommended
Sitting in Bars with Cake,2023,7.0,average,Recommended
Captain Marvel,2019,3.0,bad,Not Recommended
How to Survive a Pandemic,2022,5.0,average,Not Recommended
The Eight Hundred,2020,7.4,average,Recommended
"Confess, Fletch",2022,6.4,average,Not Recommended
Suitable Flesh,2023,6.3,average,Not Recommended
Adam,2019,8.1,good,Recommended
Fast Color,2019,6.9,average,Recommended
Always Be My Maybe,2019,6.8,average,Recommended
The Other Lamb,2020,6.3,average,Not Recommended
Bombshell,2019,6.2,average,Not Recommended
Ready or Not,2019,7.5,good,Recommended
The Whale,2022,5.8,average,Not Recommended
Before We Vanish,2018,6.8,average,Recommended
Elvis,2022,7.3,average,Recommended
The Lost King,2023,6.6,average,Recommended
Coma,2024,6.4,average,Not Recommended
Vivarium,2020,5.2,average,Not Recommended
Come to Daddy,2020,5.9,average,Not Recommended
Turtles All the Way Down,2024,6.8,average,Recommended
The Happy Prince,2018,6.3,average,Not Recommended
Cora Bora,2024,9.9,good,Recommended
Big Time Adolescence,2020,6.9,average,Recommended
The Outsider,2018,6.8,average,Recommended
Guardians of the Galaxy Vol. 3,2023,7.9,good,Recommended
Skywalkers: A Love Story,2024,4.5,bad,Not Recommended
Becks,2018,8.0,good,Recommended
Us Kids,2020,2.5,bad,Not Recommended
I Am Mother,2019,7.2,average,Recommended
The Beach House,2020,5.8,average,Not Recommended
Skin: A History of Nudity in the Movies,2020,7.2,average,Recommended
Cliff Walkers,2021,6.0,average,Not Recommended
The Man Who Sold His Skin,2021,6.7,average,Recommended
Low Tide,2019,5.3,average,Not Recommended
Downton Abbey,2019,6.8,average,Recommended
The Traitor,2020,6.6,average,Recommended
Nobody,2021,7.6,good,Recommended
Halston,2019,6.8,average,Recommended
Greenland,2020,6.3,average,Not Recommended
Kinds of Kindness,2024,5.8,average,Not Recommended
Ready Player One,2018,7.3,average,Recommended
The Lodge,2020,6.1,average,Not Recommended
Greyhound,2020,7.1,average,Recommended
The Long Dumb Road,2018,5.0,average,Not Recommended
The Bad Guys,2022,7.4,average,Recommended
To the End,2022,1.9,bad,Not Recommended
Synchronic,2020,5.8,average,Not Recommended
Dora and the Lost City of Gold,2019,5.1,average,Not Recommended
Anna and the Apocalypse,2018,6.1,average,Not Recommended
Official Secrets,2019,7.3,average,Recommended
The Creator,2023,6.3,average,Not Recommended
Misha and the Wolves,2021,6.3,average,Not Recommended
Native Son,2019,5.5,average,Not Recommended
Chicken Run: Dawn of the Nugget,2023,6.4,average,Not Recommended
The Dead Center,2019,6.0,average,Not Recommended
The Feast,2021,6.0,average,Not Recommended
Hold the Dark,2018,5.2,average,Not Recommended
Nyad,2023,6.9,average,Recommended
The Electrical Life of Louis Wain,2021,7.1,average,Recommended
Guy Ritchie’s The Covenant,2023,7.1,average,Recommended
Honk for Jesus. Save Your Soul.,2022,4.7,bad,Not Recommended
Downton Abbey: A New Era,2022,6.5,average,Recommended
Pope Francis - A Man of His Word,2018,5.3,average,Not Recommended
Piercing,2019,6.1,average,Not Recommended
Path of Blood,2018,7.9,good,Recommended
I'm Your Woman,2020,6.1,average,Not Recommended
Halftime,2022,8.3,good,Recommended
Perfect Strangers (Perfectos Desconocidos),2019,5.7,average,Not Recommended
Banana Split,2020,4.9,bad,Not Recommended
The Beach Boys,2024,4.3,bad,Not Recommended
Human Capital,2020,7.4,average,Recommended
Knock at the Cabin,2023,5.5,average,Not Recommended
Blood on Her Name,2020,6.4,average,Not Recommended
Winter Brothers,2018,6.2,average,Not Recommended
V/H/S/94,2021,5.2,average,Not Recommended
Hannah,2018,7.6,good,Recommended
Blood Quantum,2020,3.6,bad,Not Recommended
Damsel,2018,4.6,bad,Not Recommended
Damsel,2024,4.6,bad,Not Recommended
Master Gardener,2023,6.0,average,Not Recommended
Borg vs. McEnroe,2018,6.8,average,Recommended
Falling,2021,6.0,average,Not Recommended
Unsane,2018,6.1,average,Not Recommended
Midnighters,2018,4.8,bad,Not Recommended
Blizzard of Souls,2021,7.8,good,Recommended
Fingernails,2023,5.7,average,Not Recommended
Villains,2019,6.8,average,Recommended
Someone Great,2019,5.6,average,Not Recommended
Stowaway,2021,5.8,average,Not Recommended
Triangle of Sadness,2022,7.1,average,Recommended
Let Him Go,2020,9.3,good,Recommended
Freaks,2019,7.0,average,Recommended
Mayor Pete,2021,1.7,bad,Not Recommended
Alpha,2018,6.6,average,Recommended
The Hole in the Ground,2019,5.3,average,Not Recommended
Scoop,2024,6.3,average,Not Recommended
We Have Always Lived in the Castle,2019,5.3,average,Not Recommended
In the Earth,2021,4.7,bad,Not Recommended
Beau Is Afraid,2023,6.5,average,Recommended
A Haunting in Venice,2023,8.4,good,Recommended
12 Hour Shift,2020,5.9,average,Not Recommended
The Matrix Resurrections,2021,3.9,bad,Not Recommended
Money Shot: The Pornhub Story,2023,5.0,average,Not Recommended
Thanksgiving,2023,6.6,average,Recommended
Love and Monsters,2020,7.4,average,Recommended
Uncorked,2020,6.2,average,Not Recommended
Hotel Mumbai,2019,7.6,good,Recommended
Anything's Possible,2022,4.2,bad,Not Recommended
The Young Karl Marx,2018,6.4,average,Not Recommended
Misbehaviour,2020,4.0,bad,Not Recommended
Solo: A Star Wars Story,2018,6.1,average,Not Recommended
Call Jane,2022,4.9,bad,Not Recommended
The Good House,2022,7.0,average,Recommended
Totally Killer,2023,5.4,average,Not Recommended
Dual,2022,5.5,average,Not Recommended
Jacob's Ladder,2019,4.3,bad,Not Recommended
A Jazzman's Blues,2022,5.2,average,Not Recommended
Young Woman and the Sea,2024,6.9,average,Recommended
The Angry Black Girl and Her Monster,2023,4.8,bad,Not Recommended
Amulet,2020,5.4,average,Not Recommended
New Order,2021,6.5,average,Recommended
Abe,2020,5.4,average,Not Recommended
Set It Up,2018,7.5,good,Recommended
Beautiful Boy,2018,6.3,average,Not Recommended
Maya,2023,4.0,bad,Not Recommended
The Children Act,2018,7.0,average,Recommended
Everybody's Talking About Jamie,2021,6.9,average,Recommended
Don't Tell Mom the Babysitter's Dead,2024,7.7,good,Recommended
Most Wanted,2020,6.0,average,Not Recommended
The Swimmers,2022,6.4,average,Not Recommended
Permission,2018,6.4,average,Not Recommended
I'm Totally Fine,2022,3.7,bad,Not Recommended
All the Old Knives,2022,5.5,average,Not Recommended
The Photograph,2020,5.9,average,Not Recommended
Biggie: I Got a Story to Tell,2021,7.3,average,Recommended
The Standoff at Sparrow Creek,2019,6.9,average,Recommended
Funny Boy,2020,0.4,bad,Not Recommended
Not Okay,2022,6.2,average,Not Recommended
The Bookshop,2018,6.5,average,Recommended
Alex Strangelove,2018,6.9,average,Recommended
Ip Man 4: The Finale,2019,6.7,average,Recommended
Free Guy,2021,7.0,average,Recommended
Let the Corpses Tan,2018,7.5,good,Recommended
I Want You Back,2022,6.1,average,Not Recommended
Jonathan,2018,4.5,bad,Not Recommended
Plane,2023,6.4,average,Not Recommended
Lynch/Oz,2023,6.6,average,Recommended
Charm City Kings,2020,6.8,average,Recommended
Lu Over the Wall,2018,6.8,average,Recommended
Black Box,2020,6.0,average,Not Recommended
Daddio,2024,5.1,average,Not Recommended
Ideal Home,2018,6.9,average,Recommended
The Cursed,2022,7.0,average,Recommended
Ramen Shop,2019,7.0,average,Recommended
A Glitch in the Matrix,2021,5.8,average,Not Recommended
Sick,2023,5.1,average,Not Recommended
Abigail,2024,6.9,average,Recommended
Destroyer,2018,5.7,average,Not Recommended
On Chesil Beach,2018,6.2,average,Not Recommended
The Rental,2020,5.6,average,Not Recommended
Never Goin' Back,2018,6.6,average,Recommended
A Radiant Girl,2023,9.5,good,Recommended
A Million Miles Away,2023,9.5,good,Recommended
Apostle,2018,6.1,average,Not Recommended
Words on Bathroom Walls,2020,6.8,average,Recommended
Braven,2018,6.0,average,Not Recommended
All the Bright Places,2020,6.8,average,Recommended
The Year of Spectacular Men,2018,6.0,average,Not Recommended
Copshop,2021,6.0,average,Not Recommended
A Boy Called Christmas,2021,5.9,average,Not Recommended
Rosaline,2022,6.0,average,Not Recommended
Aniara,2019,7.2,average,Recommended
Land,2021,5.0,average,Not Recommended
Horse Girl,2020,6.4,average,Not Recommended
The True Adventures of Wolfboy,2020,9.6,good,Recommended
Funny Face,2021,6.9,average,Recommended
Unpregnant,2020,0.3,bad,Not Recommended
Once Were Brothers: Robbie Robertson and The Band,2020,7.7,good,Recommended
PVT Chat,2021,5.8,average,Not Recommended
At War,2019,5.4,average,Not Recommended
The Informer,2020,9.5,good,Recommended
Triple Frontier,2019,6.8,average,Recommended
Somewhere in Queens,2023,6.3,average,Not Recommended
Earwig,2022,5.5,average,Not Recommended
Lingua Franca,2020,6.4,average,Not Recommended
Sputnik,2020,5.9,average,Not Recommended
Daniel Isn't Real,2019,6.5,average,Recommended
Suncoast,2024,5.5,average,Not Recommended
The Map of Tiny Perfect Things,2021,7.4,average,Recommended
The Bubble,2022,8.0,good,Recommended
Dog,2022,6.1,average,Not Recommended
Rogue Agent,2022,6.9,average,Recommended
Spoiler Alert,2022,7.1,average,Recommended
Fear Street Part Two: 1978,2021,7.0,average,Recommended
Sorry/Not Sorry,2024,4.9,bad,Not Recommended
The Peasants,2023,7.8,good,Recommended
The Wretched,2020,6.1,average,Not Recommended
John and the Hole,2021,6.1,average,Not Recommended
The White Crow,2019,6.6,average,Recommended
Vice,2018,7.5,good,Recommended
Ocean's 8,2018,5.3,average,Not Recommended
Dead for A Dollar,2022,4.1,bad,Not Recommended
Respect,2021,7.0,average,Recommended
A Taste of Hunger,2022,6.9,average,Recommended
El Angel,2018,7.1,average,Recommended
Onward,2020,7.3,average,Recommended
This Is Me…Now: A Love Story,2024,7.4,average,Recommended
Abominable,2019,5.6,average,Not Recommended
Hunter Hunter,2020,5.4,average,Not Recommended
Buffaloed,2020,6.5,average,Recommended
The Front Runner,2018,6.1,average,Not Recommended
Slice,2018,3.9,bad,Not Recommended
Stargirl,2020,6.8,average,Recommended
Blue Beetle,2023,5.8,average,Not Recommended
The Persian Version,2023,4.0,bad,Not Recommended
Zeros and Ones,2021,3.7,bad,Not Recommended
Tetris,2023,7.7,good,Recommended
Rent-A-Pal,2020,7.3,average,Recommended
Velvet Buzzsaw,2019,5.6,average,Not Recommended
When You Finish Saving the World,2023,4.8,bad,Not Recommended
Scream VI,2023,6.6,average,Recommended
Divinity,2023,6.3,average,Not Recommended
"Cyrano, My Love",2019,7.5,good,Recommended
Scary Stories to Tell in the Dark,2019,6.5,average,Recommended
Sicario: Day of the Soldado,2018,7.0,average,Recommended
Saltburn,2023,7.3,average,Recommended
Bad Trip,2021,6.4,average,Not Recommended
The Pod Generation,2023,5.1,average,Not Recommended
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),2020,3.2,bad,Not Recommended
Nightmare Cinema,2019,5.8,average,Not Recommended
The Legend of Molly Johnson,2022,5.4,average,Not Recommended
Like Me,2018,5.4,average,Not Recommended
No One Will Save You,2023,6.4,average,Not Recommended
The Grab,2024,9.6,good,Recommended
Dragged Across Concrete,2019,7.0,average,Recommended
The Lost City,2022,4.8,bad,Not Recommended
The Beautiful Game,2024,6.9,average,Recommended
Quincy,2018,5.4,average,Not Recommended
Doctor Strange in the Multiverse of Madness,2022,5.9,average,Not Recommended
See How They Run,2022,6.2,average,Not Recommended
The Angry Birds Movie 2,2019,6.8,average,Recommended
Glorious,2022,6.0,average,Not Recommended
Isn't It Romantic,2019,5.6,average,Not Recommended
The Perfection,2019,6.2,average,Not Recommended
The Many Saints of Newark,2021,4.9,bad,Not Recommended
Mary Queen of Scots,2018,5.4,average,Not Recommended
Overlord,2018,8.0,good,Recommended
Good Boys,2019,6.0,average,Not Recommended
In the Land of Saints and Sinners,2024,6.6,average,Recommended
Family,2019,7.7,good,Recommended
Motherless Brooklyn,2019,7.2,average,Recommended
Crawl,2019,5.7,average,Not Recommended
The Mercy,2018,5.1,average,Not Recommended
Sierra Burgess Is a Loser,2018,4.3,bad,Not Recommended
Stillwater,2021,6.2,average,Not Recommended
The Nowhere Inn,2021,6.8,average,Recommended
Aporia,2023,6.3,average,Not Recommended
Christopher Robin,2018,7.4,average,Recommended
Timmy Failure: Mistakes Were Made,2020,6.5,average,Recommended
Wonder Woman 1984,2020,3.7,bad,Not Recommended
Ophelia,2019,6.5,average,Recommended
The American Meme,2018,7.5,good,Recommended
The Short History of the Long Road,2020,8.2,good,Recommended
Bad Times at the El Royale,2018,7.2,average,Recommended
The Offering,2023,3.4,bad,Not Recommended
Three Thousand Years of Longing,2022,6.6,average,Recommended
Over the Moon,2020,6.7,average,Recommended
Anything,2018,7.6,good,Recommended
Sea Fever,2020,6.1,average,Not Recommended
Saw X,2023,7.4,average,Recommended
Caveat,2021,6.1,average,Not Recommended
The Power,2021,5.4,average,Not Recommended
To the Stars,2020,6.8,average,Recommended
Moving On,2023,4.6,bad,Not Recommended
The Aeronauts,2019,6.8,average,Recommended
Little Joe,2019,4.4,bad,Not Recommended
All Day and a Night,2020,6.9,average,Recommended
Under the Silver Lake,2019,6.6,average,Recommended
Smallfoot,2018,6.7,average,Recommended
Mortal Kombat,2021,7.9,good,Recommended
Being the Ricardos,2021,6.1,average,Not Recommended
Clock,2023,4.8,bad,Not Recommended
Self Reliance,2024,6.7,average,Recommended
Rust Creek,2019,6.8,average,Recommended
Metal Lords,2022,7.1,average,Recommended
Sibyl,2020,5.5,average,Not Recommended
See for Me,2022,6.0,average,Not Recommended
White Boy Rick,2018,6.4,average,Not Recommended
Hidden Blade,2023,8.0,good,Recommended
Mom and Dad,2018,5.9,average,Not Recommended
The Clovehitch Killer,2018,6.5,average,Recommended
Biosphere,2023,5.5,average,Not Recommended
Outlaw King,2018,7.2,average,Recommended
Little Monsters,2019,6.2,average,Not Recommended
Blueback,2023,5.5,average,Not Recommended
Between Two Ferns: The Movie,2019,5.6,average,Not Recommended
All Is True,2018,5.7,average,Not Recommended
Humane,2024,4.2,bad,Not Recommended
The Djinn,2021,5.8,average,Not Recommended
Godzilla vs. Kong,2021,7.1,average,Recommended
Terrifier 2,2022,7.1,average,Recommended
House of Gucci,2021,7.8,good,Recommended
What's Love Got to Do with It?,2023,7.8,good,Recommended
No Hard Feelings,2023,6.6,average,Recommended
Doctor Sleep,2019,7.2,average,Recommended
The Rachel Divide,2018,6.3,average,Not Recommended
Lizzie,2018,6.0,average,Not Recommended
The Lovebirds,2020,5.2,average,Not Recommended
On the Basis of Sex,2018,6.6,average,Recommended
Quiz Lady,2023,5.5,average,Not Recommended
The Pact,2022,6.5,average,Recommended
Good Grief,2023,6.1,average,Not Recommended
Lux Æterna,2022,5.3,average,Not Recommended
Jakob's Wife,2021,4.6,bad,Not Recommended
Dating Amber,2020,9.5,good,Recommended
The Forgiven,2022,6.1,average,Not Recommended
The Forgiven,2018,6.1,average,Not Recommended
A Banquet,2022,5.2,average,Not Recommended
Dalíland,2023,6.4,average,Not Recommended
I Love My Dad,2022,2.9,bad,Not Recommended
The Banishment,2018,6.7,average,Recommended
Death on the Nile,2022,5.5,average,Not Recommended
Those Who Wish Me Dead,2021,5.4,average,Not Recommended
Bad Boys for Life,2020,6.5,average,Recommended
Upgraded,2024,5.3,average,Not Recommended
Siberia,2021,3.1,bad,Not Recommended
Siberia,2018,3.1,bad,Not Recommended
Joker,2019,8.8,good,Recommended
Next Exit,2022,6.5,average,Recommended
All My Puny Sorrows,2022,7.0,average,Recommended
The Banker,2020,7.4,average,Recommended
The Monkey King,2023,5.1,average,Not Recommended
Cruella,2021,7.1,average,Recommended
What Happens Later,2023,4.1,bad,Not Recommended
V/H/S/99,2022,5.0,average,Not Recommended
Mama Weed,2021,6.0,average,Not Recommended
Burial,2022,5.4,average,Not Recommended
Back to Burgundy,2018,7.4,average,Recommended
The Glorias,2020,3.5,bad,Not Recommended
Moonshot,2022,4.2,bad,Not Recommended
Wildling,2018,6.1,average,Not Recommended
Brian Banks,2019,6.3,average,Not Recommended
Force of Nature: The Dry 2,2024,4.3,bad,Not Recommended
A Kid Like Jake,2018,5.8,average,Not Recommended
The Enforcer,2022,6.9,average,Recommended
Operation Finale,2018,6.5,average,Recommended
It: Chapter Two,2019,6.5,average,Recommended
Spin Me Round,2022,4.2,bad,Not Recommended
Troop Zero,2020,5.8,average,Not Recommended
F9: The Fast Saga,2021,4.7,bad,Not Recommended
Nocturne,2020,5.6,average,Not Recommended
Flamin' Hot,2023,6.3,average,Not Recommended
Stan Lee,2023,5.6,average,Not Recommended
The Last Shift,2020,4.7,bad,Not Recommended
Boston Strangler,2023,5.7,average,Not Recommended
Brainwashed: Sex-Camera-Power,2022,0.5,bad,Not Recommended
Child's Play,2019,8.3,good,Recommended
The Highwaymen,2019,7.1,average,Recommended
An American Pickle,2020,4.7,bad,Not Recommended
Duck Butter,2018,4.9,bad,Not Recommended
The Mule,2018,3.6,bad,Not Recommended
The Spine of Night,2021,6.7,average,Recommended
Uncle Frank,2020,9.1,good,Recommended
Come Play,2020,6.2,average,Not Recommended
The Midnight Sky,2020,4.6,bad,Not Recommended
Happily,2021,5.0,average,Not Recommended
Jojo Rabbit,2019,7.8,good,Recommended
Sgt. Stubby: An American Hero,2018,7.7,good,Recommended
Work It,2020,7.2,average,Recommended
The Man Who Killed Don Quixote,2019,6.7,average,Recommended
Cry Macho,2021,5.0,average,Not Recommended
My Best Friend's Exorcism,2022,4.8,bad,Not Recommended
Wicked Little Letters,2024,6.2,average,Not Recommended
The High Note,2020,7.1,average,Recommended
Jumanji: The Next Level,2019,6.3,average,Not Recommended
The Kill Room,2023,4.9,bad,Not Recommended
