Title,Release Date,Rating,Review,Recommendation
The Truffle Hunters,2021,7.1,average,Recommended
Judas and the Black Messiah,2021,7.3,average,Recommended
McQueen,2018,7.7,good,Recommended
Earth Mama,2023,5.8,average,Not Recommended
Booksmart,2019,4.8,bad,Not Recommended
Writing with Fire,2021,7.0,average,Recommended
"Small Axe: Red, White and Blue",2020,6.9,average,Recommended
Ascension,2021,6.4,average,Not Recommended
Reality,2023,7.2,average,Recommended
To Leslie,2022,7.6,good,Recommended
No Man's Land,2021,8.1,good,Recommended
Toy Story 4,2019,7.7,good,Recommended
On the Record,2020,7.7,good,Recommended
In My Room,2019,6.3,average,Not Recommended
In the Heights,2021,7.0,average,Recommended
The Vast of Night,2020,6.6,average,Recommended
You Were Never Really Here,2018,7.3,average,Recommended
Widows,2018,6.8,average,Recommended
Love After Love,2018,5.3,average,Not Recommended
Synonyms,2019,5.5,average,Not Recommended
Boys State,2020,7.7,good,Recommended
First Man,2018,7.4,average,Recommended
The Fallout,2022,6.9,average,Recommended
Stonewalling,2023,7.5,good,Recommended
The Disappearance of Shere Hite,2023,8.2,good,Recommended
The Blue Caftan,2023,7.9,good,Recommended
Custody,2018,7.3,average,Recommended
The Disciple,2021,7.6,good,Recommended
The Ground Beneath My Feet,2019,7.0,average,Recommended
Limbo,2021,7.1,average,Recommended
Limbo,2024,7.1,average,Recommended
"Bloody Nose, Empty Pockets",2020,7.3,average,Recommended
Soul,2020,8.2,good,Recommended
Terrestrial Verses,2024,7.8,good,Recommended
20 Days in Mariupol,2023,8.5,good,Recommended
"Lingui, The Sacred Bonds",2022,7.5,good,Recommended
The Cave,2019,7.9,good,Recommended
The Guilty,2018,7.4,average,Recommended
The Guilty,2021,7.4,average,Recommended
Prayers for the Stolen,2021,7.8,good,Recommended
I Wish I Knew,2020,6.2,average,Not Recommended
The Girl and the Spider,2022,7.4,average,Recommended
Full Time,2023,7.7,good,Recommended
The Territory,2022,7.6,good,Recommended
Rose Plays Julie,2021,5.4,average,Not Recommended
Saint Frances,2020,6.7,average,Recommended
Mandy,2018,6.9,average,Recommended
Klondike,2023,6.5,average,Recommended
Rosie,2019,6.7,average,Recommended
Bait,2023,3.5,bad,Not Recommended
Evil Does Not Exist,2024,6.3,average,Not Recommended
Come from Away,2021,7.5,good,Recommended
Crossing,2024,8.4,good,Recommended
Roll Red Roll,2019,7.9,good,Recommended
Who We Are Now,2018,6.1,average,Not Recommended
One Night in Miami,2020,7.1,average,Recommended
The Reason I Jump,2021,7.8,good,Recommended
Belle,2022,7.4,average,Recommended
Private Life,2018,7.6,good,Recommended
Moonage Daydream,2022,8.0,good,Recommended
BlacKkKlansman,2018,7.3,average,Recommended
Janet Planet,2024,6.7,average,Recommended
Fireworks,2018,4.0,bad,Not Recommended
Free Solo,2018,8.0,good,Recommended
Saint Maud,2021,7.0,average,Recommended
Palm Springs,2020,7.7,good,Recommended
Is That Black Enough for You?!?,2022,3.8,bad,Not Recommended
Driveways,2020,7.9,good,Recommended
Inshallah a Boy,2024,8.1,good,Recommended
Neptune Frost,2022,6.4,average,Not Recommended
RRR,2022,8.6,good,Recommended
Transit,2019,6.8,average,Recommended
Dear Comrades!,2020,7.1,average,Recommended
Toni Morrison: The Pieces I Am,2019,7.5,good,Recommended
Taylor Swift: The Eras Tour,2023,6.6,average,Recommended
The Killing of Two Lovers,2021,7.1,average,Recommended
Night of the Kings,2021,4.9,bad,Not Recommended
Anselm,2023,6.0,average,Not Recommended
Hit Man,2024,6.6,average,Recommended
Afire,2023,6.4,average,Not Recommended
Relaxer,2019,7.2,average,Recommended
"Riotsville, U.S.A.",2022,5.2,average,Not Recommended
Mars One,2023,7.1,average,Recommended
Vortex,2022,7.6,good,Recommended
There Is No Evil,2021,6.6,average,Recommended
Hundreds of Beavers,2024,7.7,good,Recommended
Maiden,2019,8.2,good,Recommended
You Won't Be Alone,2022,6.8,average,Recommended
Two of Us,2021,6.1,average,Not Recommended
Street Gang: How We Got to Sesame Street,2021,7.5,good,Recommended
What Do We See When We Look at the Sky?,2021,5.9,average,Not Recommended
House of Hummingbird,2020,7.2,average,Recommended
Joyland,2023,7.0,average,Recommended
Rye Lane,2023,7.0,average,Recommended
Life and Nothing More,2018,8.5,good,Recommended
A Quiet Place,2018,7.1,average,Recommended
The Teachers' Lounge,2023,8.1,good,Recommended
C'mon C'mon,2021,7.2,average,Recommended
Knives Out,2019,7.7,good,Recommended
Sator,2021,5.8,average,Not Recommended
Rams,2021,7.6,good,Recommended
Hold Me Tight,2022,6.0,average,Not Recommended
Challengers,2024,6.5,average,Recommended
Give Me Liberty,2019,7.6,good,Recommended
Sorry We Missed You,2020,7.9,good,Recommended
The Holdovers,2023,8.0,good,Recommended
Araby,2018,6.5,average,Recommended
Sound of Metal,2020,8.3,good,Recommended
Da 5 Bloods,2020,5.7,average,Not Recommended
The Last Black Man in San Francisco,2019,7.0,average,Recommended
Isle of Dogs,2018,8.0,good,Recommended
Smoke Sauna Sisterhood,2023,8.7,good,Recommended
The Killer,2023,7.6,good,Recommended
Navalny,2022,6.3,average,Not Recommended
Madeline's Madeline,2018,6.7,average,Recommended
The Climb,2020,8.7,good,Recommended
A Hero,2022,7.8,good,Recommended
The Northman,2022,7.2,average,Recommended
John McEnroe: In the Realm of Perfection,2018,6.1,average,Not Recommended
Oliver Sacks: His Own Life,2020,7.7,good,Recommended
Bacurau,2020,7.7,good,Recommended
A Thousand Cuts,2020,4.7,bad,Not Recommended
Make Up,2020,3.0,bad,Not Recommended
The Woman Who Ran,2021,7.5,good,Recommended
Mass,2021,7.7,good,Recommended
Fresh,2022,7.3,average,Recommended
